Question,True Answer,Agent Answer,Chat ID,Information Coverage Score,Hallucination Score,Format Score,Language Score,Handling Unknown Score,Average Score,Comment
Cần làm gì khi hồ sơ bị pending CIC quá lâu?,"Đơn vị kiểm tra tất cả các giấy tờ của khách hàng đã có đủ kết quả cic chưa? Nếu chưa thì đợi, còn có rồi thì req ITSM để được hỗ trợ.","Khi hồ sơ bị pending CIC quá lâu, bạn cần thực hiện các bước sau:

1. Kiểm tra tất cả giấy tờ của khách hàng xem đã có đủ kết quả CIC chưa:
   - Nếu chưa có kết quả CIC: tiếp tục chờ hệ thống trả tin
   
2. Nếu đã chờ lâu nhưng vẫn pending CIC, bạn có thể:
   - Vào CIS kiểm tra bản tin theo các CMT/CCCD của khách hàng xem đã được trả bản tin đầy đủ chưa
   - Nếu CIS báo ""Chờ NHNN trả tin"": tiếp tục chờ hoặc gọi hotline CIS yêu cầu kiểm tra nếu đã chờ quá lâu
   - Nếu đã trả đủ bản tin cho tất cả ID của khách hàng nhưng ACL vẫn báo pending CIC: gửi ITSM để được hỗ trợ

Lưu ý: ACL sẽ gọi thông tin CIC theo từng ID của khách hàng được nhập lên hệ thống, nên cần đảm bảo tất cả các ID đều đã có kết quả CIC đầy đủ.",a4a63b43-2d04-48b0-852a-4f036c686e3f,8,7,10,9,9,8.6,"Agent đã bao phủ thông tin chính từ câu trả lời chuẩn về việc kiểm tra giấy tờ khách hàng đã có đủ kết quả CIC chưa và yêu cầu ITSM hỗ trợ nếu cần. Tuy nhiên, agent đã thêm nhiều thông tin chi tiết không có trong câu trả lời chuẩn như kiểm tra CIS, gọi hotline CIS, và giải thích về cách ACL gọi thông tin CIC. Mặc dù những thông tin này có thể hữu ích, nhưng không được xác nhận trong câu trả lời chuẩn nên có thể gây ra hallucination. Về mặt định dạng và cấu trúc, câu trả lời được trình bày rất rõ ràng với các bước được đánh số và gạch đầu dòng. Ngôn ngữ sử dụng chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng."
Quy trình xử lý khi TSĐB có lỗi ngoại lệ không thỏa điều kiện nhận tại VIB?,"Đơn vị tìm lại tài sản rồi bắt đầu quy trình P2-định giá tài sản, đi định giá lại tài sản để nhập lại các thông tin còn thiếu. Khi định giá xong mà vẫn bị lỗi ngoại lệ thì liên hệ với chính sách TSDB để được hỗ trợ","Khi TSĐB (Tài sản đảm bảo) có lỗi ngoại lệ không thỏa điều kiện nhận tại VIB, quy trình xử lý như sau:

1. Đơn vị cần tìm lại tài sản và bắt đầu quy trình P2-định giá tài sản, tiến hành định giá lại tài sản để nhập các thông tin còn thiếu.

2. Nếu sau khi định giá xong mà vẫn bị lỗi ngoại lệ, cần liên hệ với phòng Chính sách TSĐB để được hỗ trợ.

3. Trường hợp hệ thống báo lỗi ""Tài sản không thỏa điều kiện nhận của VIB"" (do tài sản chưa tồn tại trên hệ thống), đơn vị cần gửi yêu cầu hỗ trợ qua:
   - Địa chỉ: https://itsm2.vib > RISK > Category: CSTSBĐ - Phòng Chính sách tín dụng

4. Nếu TSĐB không thỏa điều kiện nhận tại VIB và cần phê duyệt qua UBTD (Ủy ban tín dụng), ĐVKD cần:
   - Trong tab Khảo sát thực tế, phần thông tin đánh giá TSBĐ, chọn ""Điều kiện nhận = Không phù hợp/Fail""
   - Nhập chi tiết lý do TSBĐ không thỏa điều kiện nhận theo danh sách LOV trên hệ thống
   - Hệ thống sẽ đánh giá, cảnh báo và chuyển luồng phê duyệt hồ sơ tín dụng lên UBTD

Bạn cần tôi làm rõ thêm điểm nào trong quy trình này không?",598c7951-6d25-463b-aa0e-8cddecf4c739,7,5,10,10,10,8.4,"Agent đã bao gồm các thông tin chính từ câu trả lời chuẩn về quy trình xử lý khi TSĐB có lỗi ngoại lệ, tuy nhiên đã thêm nhiều thông tin bổ sung không có trong câu trả lời chuẩn (điểm 3 và 4). Những thông tin bổ sung này có thể gây hiểu nhầm vì không rõ nguồn gốc và tính chính xác. Câu trả lời có định dạng rất tốt với các điểm đánh số rõ ràng, ngôn ngữ chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng. Agent đã xử lý tốt việc cung cấp thông tin và không có dấu hiệu của việc không tìm thấy câu trả lời."
"Làm sao xử lý khi kết thúc qui trình Thay đổi điều kiện phê duyệt báo lỗi ""Tài sản phải đang hoạt động để kết thúc quy trình""?",Với luồng tái cấp hạn mức/Đối tài sản: -  Tài sản mới đưa thêm vào phải nhập kho xong mới kết thúc được quy trình,"Để xử lý lỗi ""Tài sản phải đang hoạt động để kết thúc quy trình"" khi kết thúc quy trình Thay đổi điều kiện phê duyệt, bạn cần thực hiện như sau:

Với luồng tái cấp hạn mức/Đối tài sản:
- Tài sản mới đưa thêm vào phải nhập kho xong (hoàn tất) mới kết thúc được quy trình.
- Kiểm tra xem tài sản đã hoàn tất nhập kho chưa, nếu chưa thì cần hoàn tất việc nhập kho tài sản trước khi kết thúc quy trình.

Lỗi này thường xảy ra khi tài sản chưa được cập nhật trạng thái ""complete"" trong hệ thống, mặc dù đã hoàn tất nhập kho.",628af967-5650-48df-aa09-9366f780c1a8,8,6,9,9,10,8.4,"Agent đã bao gồm toàn bộ thông tin từ câu trả lời chuẩn về việc tài sản mới đưa thêm vào phải nhập kho xong mới kết thúc được quy trình. Tuy nhiên, agent đã thêm thông tin không có trong câu trả lời chuẩn như 'Kiểm tra xem tài sản đã hoàn tất nhập kho chưa' và 'Lỗi này thường xảy ra khi tài sản chưa được cập nhật trạng thái ""complete"" trong hệ thống'. Những thông tin này không được xác nhận trong câu trả lời chuẩn nên có thể gây hiểu nhầm. Về định dạng và cấu trúc, câu trả lời được trình bày rõ ràng với các điểm đánh dấu. Ngôn ngữ sử dụng chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng."
"Cách xử lý khi giải ngân gặp lỗi ""Số tiền trả nợ không đúng với cam kết""?","Kiiểm tra với CA đã hoàn thành thu nợ chưa, hoàn thành vào lúc nào và check với thời gian bắt đầu quy trình KUNN Trường hợp 1: RM tạo KUNN trước thời điểm KH thanh toán nợ như cam kết  - Nếu đang ở bước đầu tiên (Hoàn thiện yêu cầu giải ngân) --> RM hủy KUNN đi tạo lại KUNN mới bằng cách: Kết thúc nhiệm vụ chọn hủy/từ chối vì ACL không thể lấy thông tin dư nợ lại  - Nếu đang ở bước đính kèm tài liệu --> RM trả lại bước trước để ACL lấy lại thông tin dư nợ mới nhất Trường hợp 2: Đã trả về nhưng vẫn báo lỗi sai số tiền  Gửi yêu cầu itsm để chỉnh lại số tiền dự kiên trả nợ bằng đúng số tiền đã trả.","Để xử lý khi giải ngân gặp lỗi ""Số tiền trả nợ không đúng với cam kết"", bạn cần thực hiện các bước sau:

1. Kiểm tra với CA (Credit Admin) xem đã hoàn thành thu nợ chưa, hoàn thành vào lúc nào và so sánh với thời gian bắt đầu quy trình KUNN (Khế ước nhận nợ).

2. Có 2 trường hợp chính:

   **Trường hợp 1: RM tạo KUNN trước thời điểm KH thanh toán nợ như cam kết**
   - Nếu đang ở bước đầu tiên (Hoàn thiện yêu cầu giải ngân): RM cần hủy KUNN và tạo lại KUNN mới bằng cách kết thúc nhiệm vụ, chọn hủy/từ chối vì ACL không thể lấy thông tin dư nợ lại.
   - Nếu đang ở bước đính kèm tài liệu: RM cần trả lại bước trước để ACL lấy lại thông tin dư nợ mới nhất.

   **Trường hợp 2: Đã trả về nhưng vẫn báo lỗi sai số tiền**
   - Gửi yêu cầu ITSM để chỉnh lại số tiền dự kiến trả nợ bằng đúng số tiền đã trả.

3. Nếu tại bước P9, hệ thống vẫn cảnh báo lỗi này dù khách hàng đã tất toán dư nợ theo đúng cam kết:
   - Kiểm tra xem khách hàng tất toán trước hay sau khi tạo KUNN
   - Nếu tất toán sau khi tạo KUNN: trả về bước đầu tiên của P9 và đẩy lên lại để hệ thống lấy lại dữ liệu dư nợ mới nhất
   - Nếu đã trả trước đó nhưng hệ thống vẫn cảnh báo: gửi ITSM để được hỗ trợ kiểm tra",a062c288-77ab-4303-9e9f-b3b919adecba,8,7,9,9,8,8.2,"Agent đã bao phủ hầu hết thông tin quan trọng từ câu trả lời chuẩn, bao gồm các trường hợp và cách xử lý. Tuy nhiên, agent đã thêm thông tin về 'bước P9' và một số chi tiết không có trong câu trả lời chuẩn, điều này có thể gây nhầm lẫn. Định dạng rất rõ ràng với các đánh số và phân chia trường hợp. Ngôn ngữ chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng. Agent đã xử lý tốt thông tin có sẵn mà không đề xuất chuyển đến Admin vì đã có đủ thông tin để trả lời."
Quy trình xử lý khi tài khoản trung gian không hiển thị trong KUNN?,Nếu đơn vị có chuyển đổi phương thức giải ngân từ  chuyển khoản --> tiền mặt ở P9 thì vui lòng hủy KUNN hiện tại và tạo KUNN mới để hệ thống ghi nhận đúng Phương thức giải ngân và hiển thị tài khoản trung gian theo các bước sau: - RM hủy KUNN bằng cách Kết thúc nhiệm vụ chọn hủy/từ chối - Bắt đầu qui trình để tạo KUNN mới Lưu ý: Trường hợp tạo lại KUNN mới rồi nhưng vẫn không lên Tài khoản trung gian thì req lên ITSM để được hỗ trợ,"Khi tài khoản trung gian không hiển thị trong KUNN, quy trình xử lý như sau:

### Nguyên nhân
- Thường do thay đổi hình thức giải ngân dẫn đến việc không hiện tài khoản trung gian (TKTG)

### Quy trình xử lý
1. **Kiểm tra tài khoản trung gian**
   - Thực hiện truy vấn: `Select * from inter.Beneficiary_Gl_Code where branchcode= [mã chi nhánh]`

2. **Xử lý theo kết quả kiểm tra**:
   - **Nếu đã có tài khoản trung gian**:
     - DVKD hủy KUNN hiện tại bằng cách ""Kết thúc nhiệm vụ"" và chọn ""hủy/từ chối""
     - Tạo KUNN mới để hệ thống ghi nhận đúng phương thức giải ngân và hiển thị tài khoản trung gian

   - **Nếu chưa có tài khoản trung gian**:
     - Chuyển Line 2 hỗ trợ tạo TKTG

3. **Lưu ý quan trọng**:
   - Nếu đơn vị có chuyển đổi phương thức giải ngân từ chuyển khoản sang tiền mặt ở P9, cần hủy KUNN hiện tại và tạo KUNN mới
   - Trường hợp tạo lại KUNN mới rồi nhưng vẫn không hiển thị tài khoản trung gian, cần tạo yêu cầu ITSM để được hỗ trợ",5f82c049-bc62-46b5-a049-6f06f43fcf2e,8,7,10,9,9,8.6,"Agent đã bao quát được thông tin chính từ câu trả lời chuẩn về việc hủy KUNN hiện tại và tạo KUNN mới khi có chuyển đổi phương thức giải ngân, cũng như hướng dẫn tạo yêu cầu ITSM nếu vẫn gặp vấn đề. Tuy nhiên, agent đã thêm một số thông tin không có trong câu trả lời chuẩn như việc truy vấn 'Select * from inter.Beneficiary_Gl_Code where branchcode= [mã chi nhánh]' và phần kiểm tra tài khoản trung gian. Mặc dù thông tin này có thể hữu ích nhưng không được đề cập trong câu trả lời chuẩn nên có thể gây nhầm lẫn. Về định dạng và cấu trúc, agent đã trình bày rất rõ ràng với các đề mục và bước thực hiện cụ thể. Ngôn ngữ sử dụng chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng."
Làm sao xử lý khi duyệt giải ngân báo lỗi giá trị TSDB không đủ để đảm bảo cho khoản vay?,"1.Với tài sản thế chấp lần đầu tiên: Trường hợp 1: Kiểm tra xem tài sản đã hoàn thành quy trình nhập kho chưa và thời điểm trước hay sau bước đẩy KUNN  - Nếu đã hoàn thành và thực hiện sau thì chuyển xử lý lại KUNN  - Nếu chưa hoàn tất thì thực hiện nhập kho tài sản trước sau đó quay lại đẩy KUNN Trường hợp 2: Tài sản nhập kho rồi thì kiểm tra lại LTV được duyệt đã đủ chưa? - Nếu chưa đủ thì req ITSM để chỉnh lại. - Nếu ltv được duyệt đã đủ cho cả khoản vay hiện tại và khoản vay khác mà vẫn không chuyển xử lý được thì req ITSM với tiêu đề ""Kiểm tra giá trị khả dụng TSĐB khi giải ngân"" kèm các thông tin về mã hồ sơ, mã tài sản và màn hình lỗi 2. Với tài sản đang thế chấp tại VIB Trường hợp 1: Vay thêm trên tài sản đó thì kiểm tra ltv được duyệt đã bao gồm đủ cả khoản đã giải ngân chưa? Chưa thì req ITSM để chỉnh lại. Trường hợp 2: Tất toán khoản vay cũ và giải ngân lại thì cần phải gỡ phân bổ tài sản cho khoản vay cũ. - Cập nhật trạng thái hạn mức (nếu có):  tạo Yêu cầu thay đổi điều kiện phê duyệt/Cập nhật trạng thái hạn mức ( tham chiếu qui trình mục 7 TL HDSD sau giải ngân) - Gỡ phân bổ:  tạo Yêu cầu thay đổi điều kiện phê duyệt/Thay đổi tỷ lệ phân bổ (tham chiếu qui trình mục 8 TL HDSD sau giải ngân) 3. Các trường hợp còn lại đã xử lý hết tình huống 1 và 2 thì gửi lên ITSM với tiêu đề ""Kiểm tra giá trị khả dụng TSĐB khi giải ngân"" kèm các thông tin về mã hồ sơ, mã tài sản và màn hình lỗi","Khi duyệt giải ngân báo lỗi giá trị TSDB không đủ để đảm bảo cho khoản vay, bạn cần xử lý theo các trường hợp sau:

1. **Với tài sản thế chấp lần đầu tiên**:
   - **Kiểm tra tài sản đã hoàn thành quy trình nhập kho chưa**:
     - Nếu đã hoàn thành và thực hiện sau bước đẩy KUNN: Chuyển xử lý lại KUNN
     - Nếu chưa hoàn tất: Thực hiện nhập kho tài sản trước, sau đó quay lại đẩy KUNN
   - **Kiểm tra LTV được duyệt**:
     - Nếu chưa đủ: Tạo yêu cầu ITSM để chỉnh lại
     - Nếu LTV đã đủ nhưng vẫn không chuyển xử lý được: Tạo yêu cầu ITSM với tiêu đề ""Kiểm tra giá trị khả dụng TSĐB khi giải ngân"" kèm thông tin mã hồ sơ, mã tài sản và màn hình lỗi

2. **Với tài sản đang thế chấp tại VIB**:
   - **Trường hợp vay thêm trên tài sản đó**: Kiểm tra LTV được duyệt đã bao gồm đủ cả khoản đã giải ngân chưa. Nếu chưa, tạo yêu cầu ITSM để chỉnh lại.
   - **Trường hợp tất toán khoản vay cũ và giải ngân lại**: Cần gỡ phân bổ tài sản cho khoản vay cũ bằng cách:
     - Tạo Yêu cầu thay đổi điều kiện phê duyệt/Cập nhật trạng thái hạn mức (để cập nhật trạng thái hồ sơ về hết hiệu lực)
     - Tạo Yêu cầu thay đổi điều kiện phê duyệt/Thay đổi tỷ lệ phân bổ (để thay đổi giá trị phân bổ về 0)

3. **Trường hợp tài sản đã nhập kho nhưng vẫn bị lỗi**: Do tài sản hoàn tất nhập kho rồi nhưng vẫn bị lỗi chưa cập nhật trạng thái complete, cách xử lý là Add note chuyển line update.

4. **Các trường hợp khác**: Sau khi đã xử lý các tình huống trên mà vẫn không được, gửi yêu cầu ITSM với tiêu đề ""Kiểm tra giá trị khả dụng TSĐB khi giải ngân"" kèm thông tin mã hồ sơ, mã tài sản và màn hình lỗi.",f277c836-8e8c-438c-bd93-5bae4c6ad440,8,7,10,10,9,8.8,"Agent đã bao phủ hầu hết thông tin quan trọng từ câu trả lời chuẩn, bao gồm các trường hợp xử lý với tài sản thế chấp lần đầu và tài sản đang thế chấp tại VIB. Tuy nhiên, agent đã thêm thông tin về 'Trường hợp tài sản đã nhập kho nhưng vẫn bị lỗi' (mục 3) không có trong câu trả lời chuẩn, đây là một hallucination nhẹ. Định dạng và cấu trúc rất tốt với việc sử dụng bullet points và phân chia rõ ràng các trường hợp. Ngôn ngữ chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng. Agent đã xử lý tốt việc hướng dẫn người dùng tạo yêu cầu ITSM khi cần thiết."
Các bước để hủy hồ sơ trên hệ thống ACL?,"Trường hợp 1: Hồ sơ đang có trạng thái hiệu lực thì đi đơn vị đi luồng thay đổi điều kiện phê duyệt, loại yêu cầu cập nhật trạng thái hạn mức để chuyển hồ sơ về hết hiệu lực. Trường hợp 2: Hồ sơ có trạng thái đang chờ giải ngân thì đơn vị lấy nhiệm vụ, chọn hủy/từ chối để hủy KUNN để cho hồ sơ về trạng thái hiệu lực sau đó làm như trường hợp 1. Trường hợp 3: Hồ sơ trước P8, vẫn trong luồng xử lý thì đơn vị lấy nhiệm vụ chọn hủy/từ chối để hủy hồ sơ. Trường hợp 4: Các trường hợp hồ sơ bị treo thì req ITSM để được hỗ trợ","Để hủy hồ sơ trên hệ thống ACL, bạn cần thực hiện theo các bước khác nhau tùy thuộc vào trạng thái hiện tại của hồ sơ:

**Trường hợp 1: Hồ sơ đang có trạng thái hiệu lực**
1. Vào Menu → Đề xuất Thay đổi điều kiện phê duyệt
2. Chọn Loại yêu cầu: Cập nhật trạng thái hạn mức
3. Chọn hồ sơ cần Hủy (trạng thái Active/disbursed/freezing/limit expired)
4. Lưu lại, sau đó tìm kiếm lại hồ sơ và bắt đầu quy trình để làm
5. Thay đổi trạng thái từ Hiệu lực → Hết hiệu lực
6. Kết thúc nhiệm vụ chuyển lên CA phê duyệt

**Trường hợp 2: Hồ sơ có trạng thái đang chờ giải ngân**
- Lấy nhiệm vụ, chọn hủy/từ chối để hủy KUNN
- Sau đó hồ sơ sẽ về trạng thái hiệu lực, tiếp tục làm như trường hợp 1

**Trường hợp 3: Hồ sơ trước P8, vẫn trong luồng xử lý**
- Lấy nhiệm vụ, chọn hủy/từ chối để hủy hồ sơ

**Trường hợp 4: Hồ sơ đã lên P9 và chưa qua bước cuối của CA Checker**
1. DVKD bấm Kết thúc nhiệm vụ chọn hủy/từ chối để hủy KUNN
2. DVKD tạo mới hồ sơ để trình hủy hồ sơ qua CA phê duyệt theo các bước tương tự trường hợp 1

**Trường hợp 5: Các trường hợp hồ sơ bị treo**
- Gửi yêu cầu ITSM để được hỗ trợ

Bạn cần tôi làm rõ bước nào trong quy trình này không?",d25afed3-6353-49c1-8e28-7928328a875e,8,7,10,10,10,9.0,"Agent đã bao phủ tất cả 4 trường hợp từ câu trả lời chuẩn, nhưng có thêm một trường hợp 5 không có trong câu trả lời chuẩn. Về nội dung, agent đã bổ sung thêm chi tiết cụ thể cho trường hợp 1 (các bước thực hiện) mà không có trong câu trả lời chuẩn. Thông tin bổ sung này có thể hữu ích nhưng không thể xác minh được độ chính xác từ câu trả lời chuẩn. Trường hợp 4 trong câu trả lời của agent (Hồ sơ đã lên P9 và chưa qua bước cuối của CA Checker) không có trong câu trả lời chuẩn, đây có thể là thông tin không chính xác. Định dạng và cấu trúc rất rõ ràng với các đánh dấu cho từng trường hợp và các bước thực hiện. Ngôn ngữ chuyên nghiệp và phù hợp với ngữ cảnh ngân hàng."
